,Location,Date_confirmation,cases,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21
166,New South Wales,2022-07-11,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,New South Wales,2022-07-12,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,New South Wales,2022-07-13,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,New South Wales,2022-07-14,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
170,New South Wales,2022-07-15,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
171,New South Wales,2022-07-16,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
172,New South Wales,2022-07-17,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0
173,New South Wales,2022-07-18,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0
174,New South Wales,2022-07-19,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0
175,New South Wales,2022-07-20,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0
176,New South Wales,2022-07-21,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0
177,New South Wales,2022-07-22,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0
178,New South Wales,2022-07-23,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0
179,New South Wales,2022-07-24,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0
180,New South Wales,2022-07-25,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0,0
181,New South Wales,2022-07-26,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4,0
182,New South Wales,2022-07-27,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2,4
183,New South Wales,2022-07-28,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,2
184,New South Wales,2022-07-29,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0
185,New South Wales,2022-07-30,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0
186,New South Wales,2022-07-31,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,3
187,New South Wales,2022-08-01,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0
188,New South Wales,2022-08-02,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1
189,New South Wales,2022-08-03,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
190,New South Wales,2022-08-04,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0
191,New South Wales,2022-08-05,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0
192,New South Wales,2022-08-06,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
193,New South Wales,2022-08-07,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0
194,New South Wales,2022-08-08,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
195,New South Wales,2022-08-09,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,5
196,New South Wales,2022-08-10,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
197,New South Wales,2022-08-11,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0
198,New South Wales,2022-08-12,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0,0
199,New South Wales,2022-08-13,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,0
200,New South Wales,2022-08-14,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2
201,New South Wales,2022-08-15,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
202,New South Wales,2022-08-16,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0
203,New South Wales,2022-08-17,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0
204,New South Wales,2022-08-18,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0
205,New South Wales,2022-08-19,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0
206,New South Wales,2022-08-20,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0
207,New South Wales,2022-08-21,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0
208,New South Wales,2022-08-22,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0
209,New South Wales,2022-08-23,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6
210,New South Wales,2022-08-24,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0
211,New South Wales,2022-08-25,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1
212,New South Wales,2022-08-26,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0
213,New South Wales,2022-08-27,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0
214,New South Wales,2022-08-28,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,0
215,New South Wales,2022-08-29,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0
216,New South Wales,2022-08-30,5,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,2
